"name","category","default.sigma","full","half","even","odd","pass1","pass2","none"
"Aurora",1,0.956,0.951,0.945,0.952,0.945,0.956,0.931,0.955
"Canary",1,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
"Chilipepper",1,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
"Darkblotched",1,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
"Dover",1,0.956,0.947,0.956,0.956,0.956,0.95,0.956,0.956
"English",2,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913
"Petrale",1,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
"POP",1,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956
"Rex",2,0.913,0.913,0.913,0.913,0.913,0.913,0.836,0.913
"Sablefish",1,0.956,NA,NA,NA,NA,NA,NA,NA
"Sharpchin",2,0.913,0.854,0.9,0.896,0.896,0.911,0.862,0.913
"Yellowtail",2,0.913,0.865,0.868,0.913,0.771,0.913,0.913,0.901
