"name","full","half","even","odd","pass1","pass2","none"
"Aurora",0.64,0.66,0.61,0.66,0.55,0.75,0.48
"Canary",0.25,0.23,0.25,0.24,0.26,0.26,0.26
"Chilipepper",0.6,0.27,0.52,0.53,0.29,0.29,0.43
"Darkblotched",0.36,0.48,0.48,0.34,0.48,0.33,0.41
"Dover",0.85,0.82,0.79,0.75,0.79,0.79,0.71
"English",0.87,0.87,0.86,0.87,0.87,0.87,0.86
"Petrale",0.22,0.22,0.21,0.21,0.23,0.21,0.18
"POP",0.14,0.2,0.21,0.14,0.18,0.21,0.22
"Rex",0.83,0.83,0.8,0.81,0.82,0.86,0.76
"Sablefish",NA,NA,NA,NA,NA,NA,NA
"Sharpchin",0.87,0.77,0.78,0.77,0.73,0.85,0.7
"Yellowtail",0.82,0.79,0.42,0.93,0.67,0.44,0.71
