"name","category","default.sigma","full","half","even","odd","pass1","pass2","none"
"Aurora",1,0.36,0.4,0.45,0.39,0.45,0.34,0.57,0.37
"Canary",1,0.36,0.14,0.15,0.14,0.16,0.14,0.14,0.15
"Chilipepper",1,0.36,0.15,0.16,0.15,0.16,0.16,0.16,0.16
"Darkblotched",1,0.36,0.32,0.3,0.3,0.33,0.3,0.33,0.34
"Dover",1,0.36,0.43,0.35,0.3,0.32,0.41,0.29,0.23
"English",2,0.72,0,0,0.01,0,0,0,0.06
"Petrale",1,0.36,0.12,0.18,0.17,0.16,0.16,0.16,0
"POP",1,0.36,0.23,0.22,0.23,0.24,0.23,0.23,0.24
"Rex",2,0.72,0.62,0.63,0.54,0.55,0.59,1.43,0
"Sablefish",1,0.36,NA,NA,NA,NA,NA,NA,NA
"Sharpchin",2,0.72,1.26,0.84,0.87,0.87,0.74,1.18,0.69
"Yellowtail",2,0.72,1.15,1.13,0.41,2.07,0.59,0.41,0.83
